Title,Date,view_count,like_count,comment_count,url
قرعة نصف نهائي كأس الإتحاد🔥😍,2025-04-01,1547,19,0,https://youtu.be/szm4JJm2p9w
فارس عوض 🎙️ مستحيل العودة 😍😂🤣💙🥶🔥,2025-04-01,1502,63,2,https://youtu.be/EHwi0voxdVQ
مباراة الاهلي المصري و الهلال السوداني اليوم في ذهاب ربع نهائي دوري ابطال افريقيا. توقيت,2025-04-01,1500,2,0,https://youtu.be/FgxW5K3OAsw
غيابات بالجمله ب#الاهلي #اهلاوي #الاهلي #دوريابطالافريقيا #الأهلى #الدوري_المصري #الدورى,2025-04-01,1482,13,0,https://youtu.be/aA5FGvRPKS4
مباراة الاهلي والهلال السوداني قوة تشكيل الأهلي وهل ستؤدي لتحقيق الانتصار,2025-04-01,1448,10,0,https://youtu.be/wiR1DG1bvSk
مدرب ليفربول يعلق على رحيل أرنولد.. وتطورات إصابته,2025-04-01,1422,26,0,https://youtu.be/o1xdc5MNP_k
هدف الريال الاول والتعادل للريال من اندريك ضد ريال سوسييداد #football #footballteam,2025-04-01,1420,6,0,https://youtu.be/H4CLXirEPaI
NEYMAR JR EDITS🔥#neymarjr #edit #footballshorts #fyyyyyyyyyp,2025-04-01,1254,31,0,https://youtu.be/BtIWy7cQ85k
دورى ابطال اوربا,2025-04-01,1180,7,0,https://youtu.be/0eQV3itDTgQ
#الاهلي #اكسبلور #بيراميدز #الزمالك #alahly #ابو #الهلال #الدوري #football #الهستيري,2025-04-01,1133,5,0,https://youtu.be/OjMcvdefbDk
كأس خادم الحرمين الشريفين - نصف النهائي الاتحاد 🆚 الشباب ⏰ 19:30 🎤 حماد العنزي  #حمدالله  #بنزيما,2025-04-01,1091,2,0,https://youtu.be/K1AmgCyxk-c
الريال يصل الى نهائي كاس الملك,2025-04-01,1056,27,1,https://youtu.be/EcS027SGesk
مواعيد مباريات الأهلي في شهر أبريل ٢٠٢٥..مواجهات نارية في أبطال أفريقيا والدوري وكأس الرابطة 🔥,2025-04-01,1053,0,0,https://youtu.be/3Mfw-x22ESU
مباريات اليوم من دوري أبطال إفريقيا 2024-2025 الثلاثاء 1 أبريل 2025 - دور ربع النهائي,2025-04-01,1005,6,0,https://youtu.be/UiKncrZH8dY
أموريم: اختلاف التحضير سيؤثر على المباراة,2025-04-01,952,22,2,https://youtu.be/py4Uv00sDD8
مدريد وسوسيدا والمهمه الصعبه 😱#مدريد #برشلونه #الدوري #سوسيدا #مبابي #تييك #ترند #كلاسيكو #اكسبلور,2025-04-01,876,4,0,https://youtu.be/jxPtx0qRcFA
كولر السبب في ضياع الدوري والكأس والرابطة.. ماذا يحدث في الأهلي؟!,2025-04-01,780,9,11,https://youtu.be/u41lltmKh98
ريال مدريد إلى النهائي 🤩#مدريد #برشلونه #الدوري #سوسيدا #مبابي #تييك #ترند  #كلاسيكو #fyp,2025-04-01,763,13,0,https://youtu.be/PCfpE-qoRLQ
رد فعل مباشر 🔴 || مباراة الاهلي والهلال السوداني اليوم دوري ابطال افريقيا || رد فعل مباراة الاهلي,2025-04-01,696,6,0,https://youtu.be/DdAN1hnvPYU
قناة مفتوحة تنقل مباراة ريال مدريد وريال سوسيداد بث مباشراليوم 1-4-2025 في كأس ملك إسبانيا 2025,2025-04-01,670,3,0,https://youtu.be/8sHI8jo3zFI
"موعد مباراة الأهلي والهلال السوداني في إياب دوري أبطال أفريقيا 2025 والقنوات الناقلة""",2025-04-01,573,7,0,https://youtu.be/wUMZRYBKH60
مباراة بيراميدز المصري ضد الجيش الملكي المغربي اليوم في ذهاب ربع نهائي دوري ابطال افريقيا. توقيت,2025-04-01,481,1,0,https://youtu.be/beIo5jV5a3o
الهلال السوداني  🆚 الأهلي ⏰ 18:00 🎤 حفيظ دراجي   - دوري أبطال إفريقيا - ربع النهائي,2025-04-01,433,1,0,https://youtu.be/yvT9Yco-1k8
